ID;USER;POST
1313855169965297664;DivaDepressao;"RT @Drezinhoph: @DivaDepressao @mairamedeiros @bertolino @FilhosDaGravida 
O tazo que achei hoje no meu cheetos 😍😍😍 https://t.co/0aRRRLx6dd"
1313681878755487744;DivaDepressao;"RT @luizaambiel: Boas energias pra nossa peoa voltar fazendeira🙏❤️

#RoçaAFazenda"
1313677261787336705;DivaDepressao;RT @chicobarney: Cartolouco arregou pra Mirela por causa do fandom!
1313677006169616385;DivaDepressao;E a Jojo só rindoooo hahahahahaha #RocaAFazenda12
1313674584500187138;DivaDepressao;"RT @GuiTintel: Lucas Selfie hoje

#RoçaAFazenda https://t.co/8UDCjRPMjD"
1313674273006014470;DivaDepressao;RT @luishenriqque: A #RoçaAFazenda de hoje tá só o Edu nervosa.kkkkkkk @DivaDepressao https://t.co/FHXwln0YhG
1313674061155794945;DivaDepressao;🙏🙏🙏 https://t.co/glIk8ajxaK
1313673351358013440;DivaDepressao;"RT @eros_maya: Selfie, você tirou a alegria do brasileiro.
#RocaAFazenda #AFazenda12 https://t.co/3C3KdA9hLZ"
1313670022947115009;DivaDepressao;RT @foquinha: Hahahhahahha a luiza justificando a vontade de comer doce HAHHAHA
1313669868957372417;DivaDepressao;A LUIZA RECLAMANDO DO DOCEEEEEE HHAHAAH #RoçaAFazenda
1313669416979136513;DivaDepressao;RT @vaidesmaiar: A Luiza nunca decepciona na votação, ela sempre causa ahahahaha #RoçaAFazenda
1313668531758739456;DivaDepressao;RT @TeamGiovanneBR: Juliano deixa de ser mentiroso, falou que era pra mandar as meninas pararem de fazer bolo AGORA! Então reclamou sim. #A…
1313668347939246081;DivaDepressao;RT @chicobarney: Onde eu compro a camiseta Jojo Tem Razão?
1313636969604415488;DivaDepressao;RT @anacllp: Depois de ver esse último vídeo do @DivaDepressao vou ser obrigada a ver convenção das bruxas. Nunca vi esse filme, mas já gos…
1313636805510651904;DivaDepressao;"RT @Ai_Caroll: Não tem como ver isso e não lembrar do @DivaDepressao hahahahahah
Aloooo olha essa denúncia fashion https://t.co/KZCZZUiLf7"
1313603226273492993;DivaDepressao;Ahhhhhh https://t.co/qv3ikVFd7Q
1313603171227443201;DivaDepressao;"RT @MYcom_goulart: E minha vida social que  agora se resume a tomar café com @DivaDepressao 
Sendo que acabei de almoçar.
Quero meu namorad…"
1313312535291060225;DivaDepressao;RT @andrade_elyda: Indo assistir Convenção das Bruxas após ter visto o novo vídeo do @DivaDepressao
1313311834175401985;DivaDepressao;RT @STaddiction: Olha aqui dona @DivaDepressao Eu tenho uma denúncia fashion: essa sandália feita de chiclete bubaloo custando 250 pila q q…
1313311834175401985;DivaDepressao;RT @STaddiction: Olha aqui dona @DivaDepressao Eu tenho uma denúncia fashion: essa sandália feita de chiclete bubaloo custando 250 pila q q…
1313311788990181376;DivaDepressao;"RT @PFrancino: Não consigo ver o Rodrigo Faro e não lembrar do ""Gugu""

@DivaDepressao  o que vcs fizeram comigo..."
1313213549834108928;DivaDepressao;Um dos nossos filmes favoritos, Convenção das Bruxas, vai ganhar um remake! A gente analisou o trailer da nova versão desse clássico, contamos um pouco da história e compartilhamos algumas teorias que temos! Estão ansiosos também? Confiram no canal: https://t.co/LmomLOcNsE https://t.co/XrG7yrwf1e
1313117176887422979;DivaDepressao;RT @bruae: https://t.co/PSgaNcsLvf
1312951802095120385;DivaDepressao;@MAD_Viitor Ounnn ❤️❤️❤️
1312944481990213632;DivaDepressao;@_pauloreal Em breveeee ❤️❤️
1312944447118811137;DivaDepressao;RT @_pauloreal: E eu que comecei a maratonar a segunda temporada do #CorridaDasBlogueiras, melhor reality do YouTube. Meninos do @DivaDepre…
1312939737741656066;DivaDepressao;@JuniorMazolli ❤️❤️❤️
1312939401899577345;DivaDepressao;RT @cafreitasstos: Assistindo agora da live do café da @DivaDepressao e me identificando mto com o potão de requeijão e juntando os farelos…
1312939350871740417;DivaDepressao;@historiana_ Ahh, parabéns ☺️❤️
1312939155106729985;DivaDepressao;RT @xuxovis: Amo ficar assistindo os vídeos da @DivaDepressao antes de dormir pq durmo feliz dps de morrer de rir com esses ícones hahaha ❤️
1312939128124854276;DivaDepressao;RT @affectdiva: Hoje é o dia deles, 4 de outubro, o Dia Mundial dos Animais. O dia q a vida desses seres tão especiais é celebrada de vária…
